"","x"
"1","nube"
"2","multinube"
"3","nube"
"4","nube"
"5","nube"
"6","nube"
"7","nube"
"8","nube"
"9","multinube"
"10","nube"
"11","nube"
"12","nube"
"13","nube"
"14","multinube"
"15","multinube"
"16","multinube"
"17","multinube"
"18","nube"
"19","multinube"
"20","nube"
"21","nube"
"22","multinube"
"23","nube"
"24","nube"
"25","nube"
"26","nube"
"27","multinube"
"28","nube"
"29","multinube"
"30","nube"
"31","nube"
"32","multinube"
"33","cieloDespejado"
"34","nube"
"35","nube"
"36","nube"
"37","nube"
"38","nube"
"39","nube"
"40","nube"
"41","nube"
"42","nube"
"43","multinube"
"44","nube"
"45","nube"
"46","nube"
"47","multinube"
"48","nube"
"49","multinube"
"50","nube"
"51","multinube"
"52","nube"
"53","nube"
"54","nube"
"55","multinube"
"56","nube"
"57","multinube"
"58","nube"
"59","multinube"
"60","nube"
"61","nube"
"62","multinube"
"63","nube"
"64","nube"
"65","nube"
"66","multinube"
"67","nube"
"68","multinube"
"69","multinube"
"70","nube"
"71","nube"
"72","multinube"
"73","nube"
"74","multinube"
"75","nube"
"76","cieloDespejado"
"77","multinube"
"78","nube"
"79","multinube"
"80","multinube"
"81","nube"
"82","nube"
"83","nube"
"84","nube"
"85","multinube"
"86","nube"
"87","nube"
"88","nube"
"89","nube"
"90","nube"
"91","multinube"
"92","cieloDespejado"
"93","nube"
"94","nube"
"95","nube"
"96","nube"
"97","multinube"
"98","nube"
"99","nube"
"100","multinube"
"101","nube"
"102","nube"
"103","nube"
"104","multinube"
"105","nube"
"106","nube"
"107","nube"
"108","nube"
"109","nube"
"110","multinube"
"111","nube"
"112","nube"
"113","nube"
"114","multinube"
"115","cieloDespejado"
"116","nube"
"117","cieloDespejado"
"118","nube"
"119","nube"
"120","nube"
"121","nube"
"122","nube"
"123","nube"
"124","nube"
"125","nube"
"126","nube"
"127","nube"
"128","nube"
"129","nube"
"130","nube"
"131","cieloDespejado"
"132","nube"
"133","multinube"
"134","cieloDespejado"
"135","nube"
"136","nube"
"137","nube"
"138","multinube"
"139","nube"
"140","nube"
"141","nube"
"142","nube"
"143","nube"
"144","nube"
"145","multinube"
"146","nube"
"147","multinube"
"148","cieloDespejado"
"149","nube"
"150","multinube"
"151","nube"
"152","nube"
"153","nube"
"154","cieloDespejado"
"155","nube"
"156","nube"
"157","nube"
"158","nube"
"159","multinube"
"160","nube"
"161","multinube"
"162","nube"
"163","multinube"
"164","nube"
"165","nube"
"166","nube"
"167","nube"
"168","nube"
"169","multinube"
"170","nube"
"171","nube"
"172","nube"
"173","nube"
"174","nube"
"175","nube"
"176","cieloDespejado"
"177","cieloDespejado"
"178","cieloDespejado"
"179","nube"
